Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,08/01/2025,"Zelle payment to Conard JPM99bhuw18u",-200.00,CHASE_TO_PARTNERFI,24345.11,,
DEBIT,08/01/2025,"Zelle payment to redline JPM99bhut5ys",-100.00,CHASE_TO_PARTNERFI,24545.11,,
DSLIP,08/01/2025,"DEPOSIT  ID NUMBER 291456",17000.00,DEPOSIT,24645.11,,
CREDIT,08/01/2025,"ATM CASH DEPOSIT 08/01 60 E HUNTINGTON DR ARCADIA CA",6100.00,ATM,7645.11,,
DEBIT,07/31/2025,"Zelle payment to ch JPM99bhoqvhi",-102.00,CHASE_TO_PARTNERFI,1545.11,,
DEBIT,07/31/2025,"ORIG CO NAME:INTUIT 71446937        ORIG ID:4462800242 DESC DATE:250731 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000024141631 EED:250731   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 2124141631TC",-627.20,ACH_DEBIT,1647.11,,
DEBIT,07/31/2025,"ORIG CO NAME:INTUIT 65968301        ORIG ID:4462800242 DESC DATE:250731 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000023970130 EED:250731   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 2123970130TC",-2064.05,ACH_DEBIT,2274.31,,
DEBIT,07/30/2025,"Zelle payment to richro 25663296882",-350.00,QUICKPAY_DEBIT,4338.36,,
DEBIT,07/30/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:072925 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000018294864 EED:250730   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2118294864TC",-4443.47,ACH_DEBIT,4688.36,,
CREDIT,07/30/2025,"Zelle payment from PERIMETER LLC 25660943312",6950.00,QUICKPAY_CREDIT,9131.83,,
DEBIT,07/29/2025,"Zelle payment to zoox 25654181529",-1000.00,QUICKPAY_DEBIT,2181.83,,
DEBIT,07/29/2025,"Zelle payment to redline JPM99bhg80zm",-817.00,CHASE_TO_PARTNERFI,3181.83,,
DEBIT,07/29/2025,"Zelle payment to redline JPM99bhfmrnr",-10.00,CHASE_TO_PARTNERFI,3998.83,,
DEBIT,07/29/2025,"Same-Day ACH Payment 11181792525 to Kyle (_########4761)",-1200.00,ACH_PAYMENT,4008.83,,
DEBIT,07/29/2025,"ORIG CO NAME:NOWCOM, LLC            ORIG ID:1911718107 DESC DATE:       CO ENTRY DESCR:DEALERCNTRSEC:CCD    TRACE#:104000018243466 EED:250729   IND ID:M121150202135                IND NAME:ATTITUDE D LLC TRN: 2108243466TC",-616.25,ACH_DEBIT,5208.83,,
DEBIT,07/29/2025,"ORIG CO NAME:IPFS866-412-6739       ORIG ID:0AD2424370 DESC DATE:       CO ENTRY DESCR:IPFSPMTWASSEC:CCD    TRACE#:101000016605006 EED:250729   IND ID:561402                       IND NAME:ATTITUDE D LLC                                                                                               GDxLk2vV TRN: 2106605006TC",-837.88,ACH_DEBIT,5825.08,,
CREDIT,07/29/2025,"Zelle payment from PERIMETER LLC 25646028828",3465.00,QUICKPAY_CREDIT,6662.96,,
CHECK,07/28/2025,"CHECK 1053  ",-18121.18,CHECK_PAID,3197.96,1053,
DEBIT,07/28/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:072525 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000018602288 EED:250728   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2098602288TC",-60716.15,ACH_DEBIT,21319.14,,
CREDIT,07/28/2025,"Zelle payment from PERIMETER LLC 25641788881",3500.00,QUICKPAY_CREDIT,82035.29,,
CREDIT,07/28/2025,"Zelle payment from PERIMETER LLC 25630978049",6974.00,QUICKPAY_CREDIT,78535.29,,
CREDIT,07/28/2025,"Zelle payment from PERIMETER LLC 25620923250",6974.00,QUICKPAY_CREDIT,71561.29,,
CREDIT,07/28/2025,"ORIG CO NAME:TSYS/TRANSFIRST        ORIG ID:WFBTRANSF1 DESC DATE:250727 CO ENTRY DESCR:CR CD DEP SEC:CCD    TRACE#:043305133075808 EED:250728   IND ID:543684556033333              IND NAME:ICAR LIFESTYLE             5436845560333337ICAR LIFESTYLE            CR CD DEP 072825 TRN: 2093075808TC",8652.00,ACH_CREDIT,64587.29,,
DSLIP,07/28/2025,"DEPOSIT  ID NUMBER 212643",37770.75,DEPOSIT,55935.29,,
CHECK,07/25/2025,"CHECK 1055  07/25",-44700.00,CHECK_PAID,18164.54,1055,
DEBIT,07/25/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:072425 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232107411801 EED:250725   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,Aud it Fee 2025/07/10 00:00:00.000                DYNAMIC EFT TRN: 2067411801TC",-125.00,ACH_DEBIT,62864.54,,
DEBIT,07/25/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:072425 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232107411757 EED:250725   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :1GNSCFKD6PR302909 ,2023-Chevrolet- -Suburban DYNAMIC EFT TRN: 2067411757TC",-38175.46,ACH_DEBIT,62989.54,,
DEBIT,07/25/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:072425 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000016438904 EED:250725   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2066438904TC",-4320.58,ACH_DEBIT,101165.00,,
DEBIT,07/25/2025,"Zelle payment to xu JPM99bgwe2yo",-150.00,CHASE_TO_PARTNERFI,105485.58,,
CHECK,07/24/2025,"CHECK 1054  ",-12995.79,CHECK_PAID,105635.58,1054,
DEBIT,07/24/2025,"ONLINE DOMESTIC WIRE TRANSFER VIA: CAL BK & TRUST/121002042 A/C: WESTLAKE FLOORING COMPANY LLC LOS ANGELES CA 90010 US REF: 1145553 7G2CEHED9RA023584 IMAD: 0724MMQFMP2M025586 TRN: 3468495205ES 07/24",-14736.80,WIRE_OUTGOING,118631.37,,
CREDIT,07/24/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:072325 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000019893802 EED:250724   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 2059893802TC",412.04,ACH_CREDIT,133368.17,,
CREDIT,07/24/2025,"ORIG CO NAME:TSYS/TRANSFIRST        ORIG ID:WFBTRANSF1 DESC DATE:250723 CO ENTRY DESCR:CR CD DEP SEC:CCD    TRACE#:043305139978624 EED:250724   IND ID:543684556033333              IND NAME:ICAR LIFESTYLE             5436845560333337ICAR LIFESTYLE            CR CD DEP 072425 TRN: 2059978624TC",9270.00,ACH_CREDIT,132956.13,,
CREDIT,07/24/2025,"ORIG CO NAME: MANHEIM US            ORIG ID:1582577037 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000010174390 EED:250724   IND ID:17261656                     IND NAME:ICAR LIFESTYLE                                                                                               5913999 TRN: 2050174390TC",58195.00,ACH_CREDIT,123686.13,,
DSLIP,07/24/2025,"DEPOSIT  ID NUMBER 463326",17000.00,DEPOSIT,65491.13,,
DEBIT,07/23/2025,"Zelle payment to chuck JPM99bgrgbto",-200.00,CHASE_TO_PARTNERFI,48491.13,,
DEBIT,07/23/2025,"Zelle payment to Icar 25586610898",-2000.00,QUICKPAY_DEBIT,48691.13,,
DEBIT,07/23/2025,"Zelle payment to Ovis JPM99bgr6hgl",-280.00,CHASE_TO_PARTNERFI,50691.13,,
DEBIT,07/23/2025,"CENTRALDISPATCH.COM 858-259-6084 NY          07/22",-139.95,DEBIT_CARD,50971.13,,
CREDIT,07/23/2025,"ORIG CO NAME: MANHEIM US            ORIG ID:1582577037 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000016616525 EED:250723   IND ID:17253084                     IND NAME:ICAR LIFESTYLE                                                                                               5912619 TRN: 2046616525TC",45290.00,ACH_CREDIT,51111.08,,
DEBIT,07/22/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:072125 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232107380379 EED:250722   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :WMWLV7C05R2U36604 ,2024-MINI-Clubm man       DYNAMIC EFT TRN: 2037380379TC",-2659.34,ACH_DEBIT,5821.08,,
CHECK,07/22/2025,"CHECK 1056  ",-1286.46,CHECK_PAID,8480.42,1056,
CREDIT,07/22/2025,"Zelle payment from XIAOJING HU 25576242792",1000.00,QUICKPAY_CREDIT,9766.88,,
DEBIT,07/21/2025,"ORIG CO NAME:INTUIT 81410453        ORIG ID:4462800242 DESC DATE:250721 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000021826238 EED:250721   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 2021826238TC",-720.66,ACH_DEBIT,8766.88,,
DEBIT,07/21/2025,"ORIG CO NAME:INTUIT 65470604        ORIG ID:4462800242 DESC DATE:250721 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000021827207 EED:250721   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 2021827207TC",-1128.31,ACH_DEBIT,9487.54,,
DEBIT,07/21/2025,"ORIG CO NAME:INTUIT 65470604        ORIG ID:4462800242 DESC DATE:250721 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000021827208 EED:250721   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 2021827208TC",-1191.36,ACH_DEBIT,10615.85,,
DEBIT,07/21/2025,"WITHDRAWAL 07/21",-18700.00,MISC_DEBIT,11807.21,,
DEBIT,07/21/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:071825 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232108836249 EED:250721   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,Pay ment-1units                                   DYNAMIC EFT TRN: 2028836249TC",-10130.75,ACH_DEBIT,30507.21,,
DEBIT,07/21/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:071825 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232108836135 EED:250721   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :WDC0G4JB0JV094740 ,2018-MERCEDES-B BENZ-GLC  DYNAMIC EFT TRN: 2028836135TC",-11723.68,ACH_DEBIT,40637.96,,
DEBIT,07/21/2025,"Zelle payment to cal 25547191517",-300.00,QUICKPAY_DEBIT,52361.64,,
CREDIT,07/21/2025,"Zelle payment from WEIDA EXPRESS LLC BACv1k6lyqaz",431.00,PARTNERFI_TO_CHASE,52661.64,,
CREDIT,07/21/2025,"Zelle payment from ZHOU CAO BACedczeprhu",1000.00,PARTNERFI_TO_CHASE,52230.64,,
DEBIT,07/18/2025,"Online ACH Payment 11180667335 To juanchang (_#####2002)",-17309.00,ACH_PAYMENT,51230.64,,
DEBIT,07/18/2025,"Zelle payment to pei JPM99bg34xtr",-120.00,CHASE_TO_PARTNERFI,68539.64,,
CREDIT,07/18/2025,"ORIG CO NAME: MANHEIM US            ORIG ID:1582577037 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000010295745 EED:250718   IND ID:17231255                     IND NAME:ICAR LIFESTYLE                                                                                               5909315 TRN: 1990295745TC",13820.00,ACH_CREDIT,68659.64,,
DSLIP,07/18/2025,"DEPOSIT  ID NUMBER 565069",4700.00,DEPOSIT,54839.64,,
CREDIT,07/18/2025,"BOOK TRANSFER CREDIT B/O: FATIMA TRADING INC TORRANCE CA 90504-5026 US REF: PAYMENT OF DOWNPAYMENT FOR CADILLAC TRN: 3042305199ES",8727.00,WIRE_INCOMING,50139.64,,
DEBIT,07/17/2025,"Zelle payment to Temper Media LLC 25516662318",-1500.00,QUICKPAY_DEBIT,41412.64,,
DEBIT,07/17/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:071625 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101330683 EED:250717   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,Tit leShip Fee                                    DYNAMIC EFT TRN: 1981330683TC",-25.00,ACH_DEBIT,42912.64,,
DEBIT,07/17/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:071625 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101330707 EED:250717   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,Aud it Fee 2025/06/13 00:00:00.000                DYNAMIC EFT TRN: 1981330707TC",-125.00,ACH_DEBIT,42937.64,,
DEBIT,07/17/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:071625 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101330641 EED:250717   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :WP1AA2A20HKA85434 ,2017-PORSCHE-CA AYENNE V6 DYNAMIC EFT TRN: 1981330641TC",-21136.82,ACH_DEBIT,43062.64,,
DEBIT,07/17/2025,"Zelle payment to carlos 25510941861",-220.00,QUICKPAY_DEBIT,64199.46,,
DEBIT,07/17/2025,"FEDEX495176112 800-4633339 TN                07/16",-9.75,DEBIT_CARD,64419.46,,
CREDIT,07/17/2025,"Zelle payment from STEPHANIE B RAMIREZ 25519715598",300.00,QUICKPAY_CREDIT,64429.21,,
CREDIT,07/17/2025,"FEDWIRE CREDIT VIA: REGIONS BANK/062005690 B/O: LENDBUZZ FUNDING WIRES ACCOUNT BOSTON MA 02110 REF: CHASE NYC/CTR/BNF=ATTITUDE D LLC ARCADIA CA 91007-2839 US/AC-000000009 120 RFB=NOTPROVIDED OBI=/URI/1GNSCF KD6PR302909 : 1838825 BBI=/ACC/4081 74X1838825 IMAD: 0717F2QCZ00C002145 TRN: 0670811198FF",28535.00,WIRE_INCOMING,64129.21,,
DEBIT,07/16/2025,"Zelle payment to shaokun zhang JPM99bfy5lxb",-3800.00,CHASE_TO_PARTNERFI,35594.21,,
DEBIT,07/16/2025,"COSTCO WHSE #0412 AZUSA CA           200017  07/16",-111.88,DEBIT_CARD,39394.21,,
DEBIT,07/16/2025,"Zelle payment to ivy 25502778415",-300.00,QUICKPAY_DEBIT,39506.09,,
DEBIT,07/16/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:071525 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000015234454 EED:250716   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 1975234454TC",-22021.58,ACH_DEBIT,39806.09,,
DEBIT,07/16/2025,"FEDEX495016689 800-4633339 TN                07/15",-9.75,DEBIT_CARD,61827.67,,
DEBIT,07/16/2025,"DEPOSITED ITEM RETURNED       Refer to Maker 099022452                                       # OF ITEMS00001CK#:0000003222                                        DEP AMT               DEP DATE010101CK AMT0000872750",-8727.50,DEPOSIT_RETURN,61837.42,,
CREDIT,07/16/2025,"Zelle payment from ICAR EXOTICS 25509905541",577.00,QUICKPAY_CREDIT,70564.92,,
CREDIT,07/16/2025,"Zelle payment from SHAOKUN ZHANG PNCAA0TJy15S",1800.00,PARTNERFI_TO_CHASE,69987.92,,
CREDIT,07/16/2025,"Zelle payment from SHAOKUN ZHANG 25509416932",2000.00,QUICKPAY_CREDIT,68187.92,,
DSLIP,07/16/2025,"DEPOSIT  ID NUMBER 639135",6968.35,DEPOSIT,66187.92,,
DSLIP,07/16/2025,"DEPOSIT  ID NUMBER 589580",24500.00,DEPOSIT,59219.57,,
DEBIT,07/15/2025,"ORIG CO NAME:INTUIT 33776066        ORIG ID:4462800242 DESC DATE:250715 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000026039418 EED:250715   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 1966039418TC",-627.20,ACH_DEBIT,34719.57,,
DEBIT,07/15/2025,"ORIG CO NAME:INTUIT 64524921        ORIG ID:4462800242 DESC DATE:250715 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000026005630 EED:250715   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 1966005630TC",-2064.05,ACH_DEBIT,35346.77,,
DEBIT,07/15/2025,"ORIG CO NAME:Elite Warranty         ORIG ID:1201681064 DESC DATE:       CO ENTRY DESCR:Service   SEC:WEB    TRACE#:242071750953379 EED:250715   IND ID:                             IND NAME:iCar Lifestyle                                                                                               8014897288 TRN: 1960953379TC",-4055.00,ACH_DEBIT,37410.82,,
DEBIT,07/15/2025,"Online Transfer to CHK ...9383 transaction#: 25487158886 07/15",-135.00,ACCT_XFER,41465.82,,
CREDIT,07/15/2025,"ORIG CO NAME: MANHEIM US            ORIG ID:1582577037 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000010290683 EED:250715   IND ID:17211386                     IND NAME:ICAR LIFESTYLE                                                                                               5905274 TRN: 1960290683TC",365.00,ACH_CREDIT,41600.82,,
CREDIT,07/15/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:071425 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000010457316 EED:250715   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 1960457316TC",22000.63,ACH_CREDIT,41235.82,,
DSLIP,07/15/2025,"REMOTE ONLINE DEPOSIT #          1",8727.50,CHECK_DEPOSIT,19235.19,1,
DEBIT,07/14/2025,"Zelle payment to redline JPM99bfpio6j",-23.00,CHASE_TO_PARTNERFI,10507.69,,
DEBIT,07/14/2025,"Zelle payment to redline JPM99bfph81j",-924.00,CHASE_TO_PARTNERFI,10530.69,,
DEBIT,07/14/2025,"ORIG CO NAME:INTUIT 35494488        ORIG ID:4462800242 DESC DATE:250714 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000028721965 EED:250714   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 1958721965TC",-77.18,ACH_DEBIT,11454.69,,
DEBIT,07/14/2025,"ORIG CO NAME:MANHEIM                ORIG ID:1581936030 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000014132646 EED:250714   IND ID:ACH6507698                   IND NAME:ICAR LIFESTYLE             INV#91586313  \5512120    1GYS3KKL1 NR16761422CADILESCAL TRN: 1954132646TC",-205.00,ACH_DEBIT,11531.87,,
DEBIT,07/14/2025,"ORIG CO NAME:INTUIT 64134637        ORIG ID:4462800242 DESC DATE:250714 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000023408659 EED:250714   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 1953408659TC",-1530.68,ACH_DEBIT,11736.87,,
DEBIT,07/14/2025,"FEDEX494745765 800-4633339 TN                07/11",-9.75,DEBIT_CARD,13267.55,,
CREDIT,07/14/2025,"Zelle payment from DAVID LOOMIS HNA0JFVBQRJT",1000.00,PARTNERFI_TO_CHASE,13277.30,,
CREDIT,07/11/2025,"Zelle payment from ICAR EXOTICS 25455710169",2755.00,QUICKPAY_CREDIT,12277.30,,
DSLIP,07/11/2025,"REMOTE ONLINE DEPOSIT #          1",6978.62,CHECK_DEPOSIT,9522.30,1,
CHECK,07/10/2025,"CHECK 1052  ",-57511.87,CHECK_PAID,2543.68,1052,
DEBIT,07/10/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:070925 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101451836 EED:250710   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,Aud it Fee 2025/05/20 00:00:00.000                DYNAMIC EFT TRN: 1911451836TC",-125.00,ACH_DEBIT,60055.55,,
DEBIT,07/10/2025,"ORIG CO NAME:TSYS/TRANSFIRST        ORIG ID:WFBTRANSF1 DESC DATE:250630 CO ENTRY DESCR:MERCH FEESSEC:CCD    TRACE#:043305133515227 EED:250710   IND ID:543684556033333              IND NAME:ICAR LIFESTYLE TRN: 1913515227TC",-246.37,ACH_DEBIT,60180.55,,
DEBIT,07/10/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:070925 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000011628050 EED:250710   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 1911628050TC",-46664.09,ACH_DEBIT,60426.92,,
DEBIT,07/10/2025,"FEDEX494597292 800-4633339 TN                07/09",-47.55,DEBIT_CARD,107091.01,,
CREDIT,07/10/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:070925 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101450906 EED:250710   IND ID:3187803                      IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :WP1AA2A20HKA85434 ,2017-PORSCHE-CA AYENNE V6 DYNAMIC EFT TRN: 1911450906TC",20800.00,ACH_CREDIT,107138.56,,
CREDIT,07/10/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:070925 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000011629216 EED:250710   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 1911629216TC",21725.00,ACH_CREDIT,86338.56,,
CREDIT,07/10/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:070925 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000010987734 EED:250710   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 1910987734TC",38100.00,ACH_CREDIT,64613.56,,
DEBIT,07/09/2025,"Zelle payment to A star 25425260041",-1085.00,QUICKPAY_DEBIT,26513.56,,
DEBIT,07/09/2025,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:9493560001 DESC DATE:250709 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000021124665 EED:250709   IND ID:A5652                        IND NAME:SHANGQI LI                                                                                                   AM TRN: 1901124665TC",-8265.57,ACH_DEBIT,27598.56,,
DEBIT,07/08/2025,"Zelle payment to WYMAN-KELL JPM99bf0wsj3",-1000.00,CHASE_TO_PARTNERFI,35864.13,,
CREDIT,07/08/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:070725 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000012753194 EED:250708   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 1892753194TC",23446.86,ACH_CREDIT,36864.13,,
DEBIT,07/07/2025,"ORIG CO NAME:CARFAX                 ORIG ID:1251465303 DESC DATE:070325 CO ENTRY DESCR:BT0703    SEC:CCD    TRACE#:111000024006909 EED:250707   IND ID:000000329029803              IND NAME:Attitude D llc                                                                                               CARFAX TRN: 1884006909TC",-1248.00,ACH_DEBIT,13417.27,,
DEBIT,07/03/2025,"SERVICE CHARGES FOR THE MONTH OF JUNE",-25.00,FEE_TRANSACTION,14665.27,,
DEBIT,07/03/2025,"Zelle payment to yibo JPM99bei06fv",-500.00,CHASE_TO_PARTNERFI,14690.27,,
DEBIT,07/03/2025,"ORIG CO NAME:INTUIT 59529651        ORIG ID:4462800242 DESC DATE:250703 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000021341300 EED:250703   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 1841341300TC",-712.16,ACH_DEBIT,15190.27,,
DEBIT,07/03/2025,"ORIG CO NAME:INTUIT 63909234        ORIG ID:4462800242 DESC DATE:250703 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000021343860 EED:250703   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 1841343860TC",-1979.21,ACH_DEBIT,15902.43,,
DEBIT,07/03/2025,"ORIG CO NAME:MANHEIM                ORIG ID:1581936030 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000016996587 EED:250703   IND ID:ACH6480058                   IND NAME:ICAR LIFESTYLE             INV#3258653   \5512120    ZARFAMEV6 L763121220ALFA GIULI TRN: 1846996587TC",-205.00,ACH_DEBIT,17881.64,,
CREDIT,07/03/2025,"FEDWIRE CREDIT VIA: REGIONS BANK/062005690 B/O: LENDBUZZ FUNDING WIRES ACCOUNT BOSTON MA 02110 REF: CHASE NYC/CTR/BNF=ATTITUDE D LLC ARCADIA CA 91007-2839 US/AC-000000009 120 RFB=2507031553250035 OBI=5YJ3E1 EA1KF296575 : 1815423 BBI=/BNF/4015 60X1815423 IMAD: 0703F2QCZ00C004499 TRN: 1196381184FF",13827.00,WIRE_INCOMING,18086.64,,
DEBIT,07/02/2025,"ORIG CO NAME:CA DEPT TAX FEE        ORIG ID:2822162215 DESC DATE:250701 CO ENTRY DESCR:CDTFA EPMTSEC:CCD    TRACE#:042000015187189 EED:250702   IND ID:21486546                     IND NAME:ICAR LIFESTYLE TRN: 1835187189TC",-10322.00,ACH_DEBIT,4259.64,,
DEBIT,07/02/2025,"Online Transfer to CHK ...9383 transaction#: 25337440502 07/02",-1200.00,ACCT_XFER,14581.64,,
DEBIT,07/02/2025,"Zelle payment to Temper Media LLC 25336592635",-2500.00,QUICKPAY_DEBIT,15781.64,,
DEBIT,07/02/2025,"FEDEX493931635 800-4633339 TN                07/01",-9.75,DEBIT_CARD,18281.64,,
CREDIT,07/02/2025,"Zelle payment from FEIBIAO YANG BACdmq9a0g5e",500.00,PARTNERFI_TO_CHASE,18291.39,,
DEBIT,07/01/2025,"ORIG CO NAME:MANHEIM                ORIG ID:1581936030 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000011743516 EED:250701   IND ID:ACH6475414                   IND NAME:ICAR LIFESTYLE TRN: 1821743516TC",-135.00,ACH_DEBIT,17791.39,,
DEBIT,07/01/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:063025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000012235956 EED:250701   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 1822235956TC",-6092.54,ACH_DEBIT,17926.39,,
DEBIT,07/01/2025,"ORIG CO NAME:CA DEPT TAX FEE        ORIG ID:2822162215 DESC DATE:250630 CO ENTRY DESCR:CDTFA EPMTSEC:CCD    TRACE#:042000011272084 EED:250701   IND ID:21544887                     IND NAME:ICAR LIFESTYLE TRN: 1821272084TC",-6132.58,ACH_DEBIT,24018.93,,
DEBIT,07/01/2025,"Zelle payment to Icar 24969946713",-2500.00,QUICKPAY_DEBIT,30151.51,,
DSLIP,07/01/2025,"DEPOSIT  ID NUMBER 889848",3000.00,DEPOSIT,32651.51,,
DEBIT,06/30/2025,"ORIG CO NAME:INTUIT 90342698        ORIG ID:4462800242 DESC DATE:250630 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000022893951 EED:250630   IND ID:18973767                     IND NAME:ATTITUDE D LLC TRN: 1812893951TC",-627.20,ACH_DEBIT,29651.51,,
